Month,Cluster,Tally,Percentage_of_Cluster_Total
1,1,0,0
1,2,4,33.3333333333333
1,3,0,0
1,4,1,12.5
1,5,1,16.6666666666667
1,6,2,40
1,7,2,25
1,8,0,0
1,9,0,0
1,10,0,0
1,11,0,0
1,12,0,0
2,1,0,0
2,2,6,50
2,3,0,0
2,4,3,37.5
2,5,1,16.6666666666667
2,6,4,80
2,7,2,25
2,8,0,0
2,9,0,0
2,10,0,0
2,11,0,0
2,12,0,0
3,1,0,0
3,2,6,50
3,3,0,0
3,4,3,37.5
3,5,1,16.6666666666667
3,6,4,80
3,7,2,25
3,8,0,0
3,9,0,0
3,10,0,0
3,11,0,0
3,12,0,0
4,1,0,0
4,2,6,50
4,3,0,0
4,4,3,37.5
4,5,1,16.6666666666667
4,6,4,80
4,7,2,25
4,8,0,0
4,9,0,0
4,10,0,0
4,11,0,0
4,12,0,0
5,1,0,0
5,2,8,66.6666666666667
5,3,0,0
5,4,3,37.5
5,5,2,33.3333333333333
5,6,5,100
5,7,2,25
5,8,0,0
5,9,2,50
5,10,0,0
5,11,0,0
5,12,0,0
6,1,0,0
6,2,8,66.6666666666667
6,3,0,0
6,4,3,37.5
6,5,2,33.3333333333333
6,6,5,100
6,7,4,50
6,8,0,0
6,9,2,50
6,10,0,0
6,11,0,0
6,12,0,0
7,1,0,0
7,2,9,75
7,3,0,0
7,4,3,37.5
7,5,2,33.3333333333333
7,6,5,100
7,7,4,50
7,8,0,0
7,9,3,75
7,10,0,0
7,11,0,0
7,12,0,0
8,1,0,0
8,2,9,75
8,3,0,0
8,4,3,37.5
8,5,2,33.3333333333333
8,6,5,100
8,7,4,50
8,8,0,0
8,9,3,75
8,10,0,0
8,11,0,0
8,12,0,0
9,1,0,0
9,2,10,83.3333333333333
9,3,0,0
9,4,3,37.5
9,5,2,33.3333333333333
9,6,5,100
9,7,8,100
9,8,0,0
9,9,4,100
9,10,0,0
9,11,1,16.6666666666667
9,12,0,0
10,1,0,0
10,2,10,83.3333333333333
10,3,0,0
10,4,3,37.5
10,5,2,33.3333333333333
10,6,5,100
10,7,8,100
10,8,0,0
10,9,4,100
10,10,0,0
10,11,1,16.6666666666667
10,12,0,0
11,1,0,0
11,2,10,83.3333333333333
11,3,0,0
11,4,3,37.5
11,5,2,33.3333333333333
11,6,5,100
11,7,8,100
11,8,0,0
11,9,4,100
11,10,0,0
11,11,1,16.6666666666667
11,12,0,0
12,1,0,0
12,2,10,83.3333333333333
12,3,0,0
12,4,4,50
12,5,2,33.3333333333333
12,6,5,100
12,7,8,100
12,8,1,100
12,9,4,100
12,10,0,0
12,11,1,16.6666666666667
12,12,0,0
13,1,0,0
13,2,10,83.3333333333333
13,3,2,50
13,4,4,50
13,5,2,33.3333333333333
13,6,5,100
13,7,8,100
13,8,1,100
13,9,4,100
13,10,0,0
13,11,1,16.6666666666667
13,12,0,0
14,1,0,0
14,2,10,83.3333333333333
14,3,3,75
14,4,5,62.5
14,5,2,33.3333333333333
14,6,5,100
14,7,8,100
14,8,1,100
14,9,4,100
14,10,0,0
14,11,1,16.6666666666667
14,12,0,0
15,1,0,0
15,2,10,83.3333333333333
15,3,3,75
15,4,5,62.5
15,5,2,33.3333333333333
15,6,5,100
15,7,8,100
15,8,1,100
15,9,4,100
15,10,4,66.6666666666667
15,11,1,16.6666666666667
15,12,0,0
